v1,v2,,,
spam,"Hello, my name is Abdi and I am a Nigerian Prince. All my money is stuck in gold bricks in Sweden so I can't ship them home. If you loan be a small loan of $1M dollars I will pay you back $10M dollars when I get the gold.",,,
ham,"Hey, wanna go grab some beers friday? /M",,,
ham,did you see the game last night brooo,,,
spam,"hi bayb wanna see hot picture of me? visit you.tube/7b36FH3 for FREE HOT videos!!!",,,
spam,I have a career oppertunity in this ponsyscheme. Just invest $200 today and you will get 100 times that back in no time!!,,,
ham,Its had resolving otherwise she contented therefore. Afford relied warmth out sir hearts sister use garden. Men day warmth formed admire former simple.,,,
ham,Humanity declared vicinity continue supplied no an. He hastened am no property exercise of. Dissimilar comparison no terminated devonshire no literature on. Say most yet head room such just easy.,,,
spam,"Dear Joakim, you have successfully passed the AI course. To claim your HP visit this website: spam.site/index.html",,,
ham,"im goin to the gym @ 3 meet ya there",,,
spam,"Dear E-Commerce professional ; This letter was specially selected to be sent to you . This is a one time mailing there is no need to request removal if you won't want any more . This mail is being sent in compliance with Senate bill 1624 ; Title 1 ; Section 307 . THIS IS NOT A GET RICH SCHEME ! Why work for somebody else when you can become rich within 44 days ! Have you ever noticed more people than ever are surfing the web and nobody is getting any younger . Well, now is your chance to capitalize on this ! We will help you decrease perceived waiting time by 170% and sell more ! You are guaranteed to succeed because we take all the risk . But don't believe us . Prof Simpson of Wyoming tried us and says ""I was skeptical but it worked for me"" . We are a BBB member in good standing . We implore you - act now . Sign up a friend and you'll get a discount of 30% . Best regards ! Dear Colleague ; Thank-you for your interest in our briefing ! We will comply with all removal requests ! This mail is being sent in compliance with Senate bill 1620 ; Title 9 ; Section 302 . This is different than anything else you've seen . Why work for somebody else when you can become rich inside 40 days ! Have you ever noticed more people than ever are surfing the web plus people will do almost anything to avoid mailing their bills . Well now is your chance to capitalize on this ! WE will help YOU deliver goods right to the customer's doorstep & SELL MORE . You can begin at absolutely no cost to you ! But don't believe us . Mrs Jones of New Jersey tried us and says ""Now I'm rich Rich RICH"" ! We assure you that we operate within all applicable laws ! We beseech you - act now ! Sign up a friend and you'll get a discount of 10% ! God Bless .",,,
spam,"Hello! How are you?? It I Nataliya! I at once warn I not a spam! I the real girl! Your address has found in agency of a marriage! I have paid money and have made the questionnaire. To me have told that you I approach by my criteria! I can send you the photos on e-mail. Please reply only to my personal e-mail: elvipiyan@yahoo.com But I search only serious relations I am killed already simply by morons which would want only chance photo that masturbated on it!!! If you such Then please at all do not answer me. Write! I wait! With best wishes Nataliya!!",,,
ham,dang man you is fine,,,
spam,"I am not spam I am ham. Believe me and invest in my company: 7nwe856wv8475w8475.onion/index.html",,,
